Thang,So tien rut,Thoi gian dao han,So du,Lai thang,Lai nam
31/01/2025,98,2,902,0.002401589,0.029202797
28/02/2025,120,4,880,0.002450709,0.029808159
31/03/2025,102,3,778,0.002447487,0.029768435
30/04/2025,113,4,665,0.002502612,0.030448171
31/05/2025,98,4,789,0.002391951,0.029084051
30/06/2025,99,4,690,0.002463167,0.029961746
31/07/2025,107,1,803,0.002437672,0.029647457
31/08/2025,108,1,901,0.002448388,0.029779549
30/09/2025,98,3,902,0.002336462,0.028400659
31/10/2025,76,9,826,0.002400733,0.029192247
30/11/2025,98,4,826,0.002457678,0.029894072
31/12/2025,106,1,826,0.002395773,0.029131145
31/01/2026,100,1,826,0.002468676,0.030029663
28/02/2026,104,3,820,0.00238609,0.029011846
31/03/2026,102,3,718,0.002326686,0.028280305
30/04/2026,85,4,737,0.002293623,0.027873352
31/05/2026,108,1,839,0.002328074,0.028297391
30/06/2026,94,2,821,0.002412908,0.029342259
31/07/2026,94,4,906,0.002375805,0.028885161
31/08/2026,105,1,906,0.002441741,0.029697616
30/09/2026,92,1,906,0.002356146,0.028643039
31/10/2026,102,2,898,0.002448754,0.029784055
30/11/2026,91,1,1000,0.00234297,0.028480789
31/12/2026,98,8,902,0.002497211,0.030381561
31/01/2027,96,1,902,0.002337743,0.028416432
28/02/2027,95,2,807,0.002470735,0.030055055
31/03/2027,91,6,811,0.002368603,0.028796456
30/04/2027,99,1,811,0.002325063,0.028260327
31/05/2027,101,4,710,0.002492853,0.030327814
30/06/2027,109,1,710,0.002359619,0.028685814
31/07/2027,94,8,714,0.002436857,0.029637413
31/08/2027,100,1,906,0.002306453,0.028031253
30/09/2027,122,1,906,0.002494338,0.030346125
31/10/2027,103,3,803,0.002300021,0.027952085
30/11/2027,104,6,699,0.002473464,0.030088701
31/12/2027,104,2,698,0.002270822,0.02759279
31/01/2028,82,2,720,0.002342007,0.02846893
29/02/2028,97,6,799,0.002379479,0.028930416
31/03/2028,78,3,721,0.002436125,0.029628394
30/04/2028,108,2,717,0.002431706,0.029573918
31/05/2028,117,2,786,0.002332632,0.028353507
30/06/2028,94,2,809,0.002284982,0.027767021
31/07/2028,117,2,883,0.002290245,0.027831779
31/08/2028,88,3,912,0.002267348,0.02755005
30/09/2028,88,5,824,0.002447381,0.029767136
31/10/2028,105,4,807,0.002299316,0.027943418
30/11/2028,91,4,716,0.002459144,0.029912143
31/12/2028,95,8,621,0.002332612,0.028353259
31/01/2029,110,7,704,0.002308725,0.028059212
28/02/2029,90,8,705,0.002376627,0.028895282
31/03/2029,97,1,705,0.002441094,0.029689637
30/04/2029,98,2,607,0.002466739,0.030005788
31/05/2029,103,3,602,0.0023901,0.029061251
30/06/2029,107,2,495,0.002335669,0.028390903
31/07/2029,98,4,812,0.00236729,0.028780285
31/08/2029,88,14,724,0.002492149,0.030319128
30/09/2029,110,1,814,0.002456085,0.029874437
31/10/2029,128,2,784,0.002357416,0.028658674
30/11/2029,108,10,804,0.002431267,0.029568512
31/12/2029,105,2,699,0.002367618,0.028784318
31/01/2030,96,2,708,0.002450819,0.02980951
28/02/2030,97,7,707,0.002334661,0.028378494
31/03/2030,86,1,707,0.002365101,0.02875332
30/04/2030,106,1,707,0.002413299,0.029347085
31/05/2030,98,1,707,0.002303707,0.027997456
30/06/2030,112,14,595,0.002439035,0.029664258
31/07/2030,89,1,595,0.00242432,0.029482894
31/08/2030,113,2,687,0.002499537,0.030410243
30/09/2030,96,7,792,0.002437383,0.029643891
31/10/2030,93,2,699,0.002414309,0.029359533
30/11/2030,95,1,792,0.002405724,0.029253743
31/12/2030,93,2,699,0.002420736,0.029438727
31/01/2031,79,1,792,0.002492997,0.03032958
28/02/2031,106,3,686,0.002293269,0.027868989
31/03/2031,107,2,675,0.002476434,0.030125332
30/04/2031,112,2,776,0.002343174,0.028483309
31/05/2031,107,6,781,0.002268418,0.027563219
30/06/2031,106,8,675,0.002322684,0.028231042
31/07/2031,83,3,704,0.002391163,0.02907434
31/08/2031,101,2,603,0.002397736,0.029155321
